pl_name,stars,moons,disc_year,orbital period,radius,mass,equilibrium temp,solar radius,solar mass,rotational velocity,distance,gaia magnitude
11 Com b,2,0,2007,323.21,12.2,4914.89849,,13.76,2.09,1.2,93.1846,4.44038
11 UMi b,1,0,2009,516.21997,12.3,4684.8142,,29.79,2.78,1.5,125.321,4.56216
14 And b,1,0,2008,186.76,13.1,1131.1513,,11.55,1.78,2.6,75.4392,4.91781
14 Her b,1,0,2002,1765.0389,12.6,2559.47216,,0.93,0.91,1,17.9323,6.383
16 Cyg B b,3,0,1996,798.5,13.5,565.7374,,1.13,1.08,2.7,21.1397,6.06428
17 Sco b,1,0,2020,578.38,12.9,1373.01872,,25.92,1.22,3.98,124.953,4.75429
18 Del b,2,0,2008,982.85,12.5,2926.24614,,8.8,2.1,,76.222,5.27476
1RXS J160929.1-210524 b,1,0,2008,,18.647,3000,1700,1.31,0.85,,139.135,12.0572
24 Boo b,1,0,2018,30.33,13.9,280.64248,,12.19,1.05,3.36,95.9863,5.3339
24 Sex b,1,0,2010,452.8,13.4,632.46,,4.9,1.54,2.77,72.0691,6.20374
24 Sex c,1,0,2010,883,13.9,273.32,,4.9,1.54,2.77,72.0691,6.20374
2M0437 b,1,0,2021,,13,1271.31363,1450,0.84,0.17,22.54,128.484,14.3374
2MASS J01033563-5515561 AB b,2,0,2013,,12.3,4131.79,,,0.19,,47.2,
2MASS J01225093-2439505 b,1,0,2013,,11.209,7786.5,1600,0.37,0.4,,33.8281,12.9025
2MASS J02192210-3925225 b,1,0,2015,,16.141,4417.837,,0.28,0.11,6.5,40.0896412,15.0123
2MASS J0249-0557 c,2,0,2018,,12.4,3686.80952,,0.32,0.05,,66.0613,15.6894
2MASS J03590986+2009361 b,1,0,2024,,12.2,5720.91133,2369,0.29,0.26,,117.435,16.9967
2MASS J04414489+2301513 b,1,0,2010,,12.6,2383.6,,0.23,0.02,,120.423987,18.9668
2MASS J11011926-7732383 b,1,0,2024,,11.9,8899.1954,2677,,,,,18.3299
2MASS J11550485-7919108 b,1,0,2024,,12.1,6356.56814,2506,0.6,0.59,,100.862,14.818
2MASS J12073346-3932539 b,1,0,2004,,12.9,1589.15,1250,0.22,0.02,,64.308,17.4076
2MASS J19383260+4603591 b,2,0,2015,406,13.4,603.877,,0.2,0.48,,396.332,12.1376
